Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,no_of_special_requests,booking_status
34,2,0,0,1,0,2,2018,1,9,1,Not_Canceled
35,2,0,0,2,0,72,2018,10,7,0,Not_Canceled
36,2,0,0,1,1,23,2018,4,27,1,Not_Canceled
37,1,0,2,1,0,34,2018,6,19,0,Canceled
38,2,0,0,1,0,289,2017,10,17,0,Not_Canceled
39,2,0,2,3,0,247,2018,11,19,0,Canceled
40,2,0,2,1,0,186,2018,7,30,1,Canceled
41,2,0,0,4,0,64,2018,11,1,2,Not_Canceled
42,2,0,0,2,0,35,2018,6,21,1,Not_Canceled
43,3,0,2,1,0,96,2018,4,10,1,Not_Canceled
44,2,0,1,1,0,41,2018,6,27,1,Canceled
45,2,0,0,4,0,55,2017,11,18,1,Not_Canceled
46,2,0,0,3,0,146,2017,12,29,0,Not_Canceled
47,1,0,0,2,0,32,2017,11,20,0,Not_Canceled
48,2,0,0,1,0,55,2018,4,6,0,Not_Canceled
49,2,0,0,4,0,57,2018,11,1,1,Not_Canceled
50,1,0,1,3,0,7,2018,12,29,2,Not_Canceled
51,1,0,2,5,0,124,2018,5,30,0,Not_Canceled
52,2,0,2,2,0,169,2018,4,22,0,Canceled
53,1,0,1,2,0,6,2018,5,16,1,Not_Canceled
54,2,0,0,4,0,51,2017,11,11,1,Not_Canceled
55,2,0,1,0,0,13,2018,6,13,2,Not_Canceled
56,2,0,1,3,0,100,2018,5,19,1,Not_Canceled
57,2,0,0,1,0,139,2018,7,28,1,Not_Canceled
58,2,0,1,2,0,117,2018,12,26,2,Not_Canceled
59,2,0,1,4,0,39,2018,4,20,0,Canceled
60,2,0,0,3,0,86,2018,4,6,1,Not_Canceled
61,2,2,0,1,1,2,2018,9,2,1,Not_Canceled
62,1,0,0,3,0,19,2018,5,3,2,Not_Canceled
63,1,0,0,2,0,192,2018,6,24,0,Not_Canceled
64,1,0,0,1,0,2,2017,9,10,1,Not_Canceled
65,2,0,2,1,0,86,2018,12,18,0,Not_Canceled
66,2,0,0,3,0,30,2018,10,5,2,Not_Canceled
67,2,0,0,2,0,179,2018,6,3,1,Not_Canceled
68,2,0,0,2,0,26,2018,4,15,0,Canceled
69,2,0,0,1,0,55,2018,4,6,0,Not_Canceled
70,2,0,1,2,0,74,2018,4,25,1,Not_Canceled
71,2,0,0,3,0,143,2018,8,25,0,Not_Canceled
72,2,0,1,0,0,34,2018,11,14,2,Not_Canceled
73,2,0,1,1,1,30,2018,8,29,1,Not_Canceled
74,2,0,0,2,0,177,2018,6,3,0,Canceled
75,2,0,2,3,0,34,2017,10,25,0,Not_Canceled
76,2,0,1,4,0,18,2018,3,9,1,Not_Canceled
77,3,0,1,1,0,267,2018,12,31,0,Not_Canceled
78,2,0,1,2,0,64,2018,6,27,1,Not_Canceled
79,3,0,2,5,0,155,2018,6,28,2,Canceled
80,2,0,0,5,0,46,2018,3,29,1,Not_Canceled
81,2,2,0,2,0,83,2018,4,1,0,Canceled
82,2,0,0,5,0,128,2018,10,11,0,Canceled
83,2,0,2,0,0,20,2018,12,25,2,Not_Canceled
84,2,0,1,4,0,40,2018,3,14,0,Not_Canceled
85,2,0,1,2,1,46,2018,3,4,1,Not_Canceled
86,1,0,1,0,0,1,2018,10,17,2,Not_Canceled
87,2,0,2,3,0,196,2018,9,4,1,Not_Canceled
88,1,0,0,2,0,188,2018,6,15,0,Canceled
89,2,0,0,1,0,17,2018,12,10,0,Not_Canceled
90,2,0,0,3,0,146,2018,8,9,0,Not_Canceled
91,2,0,1,3,0,110,2018,5,5,1,Not_Canceled
92,2,0,1,2,1,68,2018,3,18,0,Not_Canceled
93,2,0,2,1,0,73,2018,4,9,1,Not_Canceled
94,2,0,0,1,0,92,2018,5,19,1,Not_Canceled
95,2,0,2,5,0,171,2018,8,30,0,Canceled
96,2,1,0,2,1,134,2018,8,4,2,Not_Canceled
97,2,0,0,2,0,320,2018,8,18,1,Canceled
98,2,0,0,4,0,118,2018,4,13,1,Not_Canceled
99,2,0,0,3,0,30,2018,11,17,1,Not_Canceled
100,2,2,1,3,0,30,2018,12,22,0,Not_Canceled
101,2,0,1,0,0,189,2018,10,23,2,Not_Canceled
102,3,0,1,2,0,55,2018,5,13,2,Not_Canceled
103,1,0,0,4,0,55,2018,12,13,2,Not_Canceled
104,2,0,0,1,0,16,2017,10,31,1,Not_Canceled
105,2,0,0,3,0,24,2017,10,8,1,Not_Canceled
106,2,0,0,3,0,8,2018,2,16,0,Not_Canceled
107,2,0,1,4,1,10,2017,11,2,0,Not_Canceled
108,2,0,1,3,0,0,2017,9,21,1,Not_Canceled
109,2,0,0,1,0,12,2018,6,30,1,Not_Canceled
110,2,0,2,1,0,32,2017,9,5,3,Not_Canceled
111,2,0,0,2,0,182,2018,9,30,2,Canceled
112,2,0,1,0,0,1,2018,6,27,1,Not_Canceled
113,2,0,0,3,0,122,2018,6,16,2,Not_Canceled
114,2,0,2,3,0,40,2018,6,30,1,Not_Canceled
115,2,2,2,2,0,116,2018,6,26,1,Canceled
116,3,0,2,2,1,123,2018,8,13,1,Not_Canceled
117,3,0,2,5,0,40,2018,4,22,0,Canceled
118,2,1,2,5,0,105,2018,11,12,3,Not_Canceled
119,2,0,0,1,0,443,2018,4,29,0,Canceled
120,2,0,2,3,0,2,2017,11,14,1,Not_Canceled
121,2,0,0,3,0,317,2018,9,1,1,Canceled
122,2,0,0,2,0,286,2018,9,16,0,Not_Canceled
123,2,0,1,3,0,68,2018,3,10,0,Canceled
124,2,0,0,3,0,148,2018,5,5,0,Not_Canceled
125,3,0,2,0,0,68,2018,4,24,2,Not_Canceled
126,2,0,0,2,0,30,2018,3,30,0,Not_Canceled
127,1,0,0,1,0,14,2018,11,3,1,Canceled
128,2,2,0,2,0,110,2018,10,14,0,Canceled
129,1,0,2,3,0,117,2018,6,5,0,Not_Canceled
130,2,0,1,4,0,85,2018,7,13,1,Not_Canceled
131,2,0,0,2,0,1,2018,10,20,2,Not_Canceled
132,1,0,1,2,0,25,2018,10,17,2,Not_Canceled
133,2,0,2,4,0,289,2018,12,28,2,Canceled
134,2,0,1,4,0,28,2017,10,19,0,Not_Canceled
135,1,0,0,4,0,80,2018,3,29,0,Not_Canceled
136,2,0,0,1,0,11,2017,10,9,2,Not_Canceled
137,2,1,1,0,0,162,2018,7,25,2,Canceled
138,2,0,2,5,0,155,2018,6,28,2,Not_Canceled
139,1,0,2,2,0,82,2018,5,22,0,Not_Canceled
140,3,0,2,4,0,27,2018,4,15,0,Canceled
141,1,0,1,2,0,13,2018,5,9,0,Not_Canceled
142,2,0,0,2,0,245,2018,6,17,0,Canceled
143,2,0,0,2,0,11,2018,11,18,1,Canceled
144,2,0,2,2,0,266,2018,10,30,2,Not_Canceled
145,2,0,1,0,0,39,2018,3,28,1,Not_Canceled
146,1,0,0,2,0,13,2018,6,1,1,Not_Canceled
147,2,0,0,4,0,112,2018,5,4,1,Not_Canceled
148,2,0,1,2,0,88,2018,4,8,1,Not_Canceled
149,2,0,0,1,0,56,2018,6,8,0,Not_Canceled
150,2,0,2,3,0,73,2018,4,7,0,Canceled
151,2,0,1,1,0,80,2018,5,2,1,Not_Canceled
152,2,0,0,3,0,130,2018,9,29,2,Canceled
153,2,0,1,3,0,69,2018,4,4,1,Not_Canceled
154,2,0,0,2,0,273,2017,7,17,0,Canceled
155,2,0,0,1,0,55,2018,4,6,0,Not_Canceled
156,1,0,0,3,0,4,2018,11,1,1,Not_Canceled
157,2,0,0,3,0,97,2018,5,24,0,Not_Canceled
158,2,0,0,3,0,44,2018,2,17,0,Not_Canceled
159,2,0,0,1,0,31,2018,4,14,0,Canceled
160,2,0,1,0,0,0,2018,6,5,0,Not_Canceled
161,2,0,2,2,0,62,2018,11,12,2,Not_Canceled
162,2,0,2,2,0,86,2018,4,17,1,Not_Canceled
163,3,0,2,2,0,3,2018,10,7,1,Not_Canceled
164,2,0,1,1,0,197,2018,8,1,1,Not_Canceled
165,2,0,0,2,0,143,2018,7,12,2,Not_Canceled
166,1,0,2,1,0,23,2018,1,2,0,Not_Canceled
167,2,0,0,2,0,8,2018,6,15,0,Canceled
168,1,0,0,2,0,13,2018,11,16,1,Not_Canceled
169,2,0,1,2,0,280,2018,9,19,0,Canceled
170,2,1,1,0,0,11,2017,9,13,1,Not_Canceled
171,2,0,0,2,0,317,2018,9,15,0,Canceled
172,2,0,1,2,0,185,2018,12,16,0,Canceled
173,2,0,1,3,0,160,2018,6,30,1,Not_Canceled
174,2,0,0,4,0,104,2018,10,18,1,Not_Canceled
175,2,1,0,1,0,11,2018,11,5,1,Canceled
176,2,0,0,1,0,2,2018,3,22,0,Not_Canceled
177,2,0,1,4,0,14,2018,8,17,1,Not_Canceled
178,2,0,0,2,0,22,2018,5,20,0,Not_Canceled
179,1,1,2,5,0,37,2017,10,24,0,Not_Canceled
180,2,0,0,2,0,292,2018,7,21,0,Canceled
181,2,0,0,3,0,11,2017,9,9,1,Not_Canceled
182,2,0,1,3,0,86,2018,3,31,1,Not_Canceled
183,2,0,0,1,0,109,2018,10,11,0,Canceled
184,2,0,1,1,0,72,2018,4,2,1,Not_Canceled
185,2,0,1,5,0,196,2018,8,22,0,Canceled
186,2,0,0,2,0,56,2018,5,13,1,Not_Canceled
187,2,0,1,3,0,189,2018,8,8,0,Not_Canceled
188,2,0,1,4,0,126,2018,8,15,0,Not_Canceled
189,2,0,2,3,0,303,2018,8,19,0,Canceled
190,1,0,2,2,0,81,2018,11,6,1,Not_Canceled
191,2,0,1,2,0,54,2018,10,10,0,Canceled
192,1,0,0,1,0,15,2018,10,6,0,Canceled
193,2,0,0,4,0,86,2018,4,6,0,Canceled
194,2,0,1,2,0,161,2018,3,25,0,Canceled
195,2,0,4,10,0,147,2018,8,3,1,Canceled
196,2,0,1,2,0,92,2018,5,30,0,Not_Canceled
197,2,0,0,1,0,87,2017,9,11,0,Canceled
198,2,0,2,1,0,109,2018,3,20,0,Not_Canceled
199,2,0,0,4,0,127,2018,3,23,2,Not_Canceled
200,2,0,1,2,0,418,2018,9,26,0,Canceled
201,2,0,1,4,0,156,2018,8,24,1,Not_Canceled
202,2,0,0,2,0,80,2017,7,16,1,Canceled
203,2,0,2,2,0,211,2018,12,16,0,Canceled
204,2,0,1,2,0,273,2018,5,13,0,Canceled
205,2,0,2,1,0,58,2018,11,19,1,Not_Canceled
206,2,0,0,3,0,433,2018,9,8,0,Canceled
207,2,0,1,3,0,111,2018,5,2,1,Not_Canceled
208,2,0,2,3,0,34,2018,8,21,0,Not_Canceled
209,2,0,2,4,0,17,2018,12,3,0,Not_Canceled
210,1,0,0,0,0,4,2018,2,27,1,Not_Canceled
211,2,0,0,3,0,6,2017,9,22,1,Not_Canceled
212,2,0,1,1,0,32,2018,7,18,1,Not_Canceled
213,2,0,0,1,0,4,2017,9,22,2,Not_Canceled
214,3,0,2,1,0,195,2018,8,13,1,Canceled
215,2,0,2,2,0,119,2018,8,13,1,Not_Canceled
216,1,0,1,1,0,13,2018,12,5,0,Not_Canceled
217,2,0,0,2,0,59,2017,10,15,2,Not_Canceled
218,2,1,2,5,0,78,2018,3,20,1,Not_Canceled
219,2,0,0,3,0,335,2018,10,13,1,Not_Canceled
220,2,0,2,5,0,103,2017,8,22,0,Not_Canceled
221,1,0,0,2,0,0,2018,6,8,1,Not_Canceled
222,2,0,0,1,0,118,2018,3,1,0,Not_Canceled
223,2,0,1,5,0,56,2018,9,5,0,Not_Canceled
224,2,0,0,2,0,107,2018,6,10,1,Not_Canceled
225,2,0,1,3,0,70,2018,4,14,1,Not_Canceled
226,2,0,0,2,0,76,2018,4,1,1,Not_Canceled
227,2,2,2,2,0,144,2018,5,27,1,Canceled
228,1,2,2,2,0,4,2017,9,19,2,Not_Canceled
229,2,1,0,2,0,15,2018,3,18,1,Not_Canceled
230,1,0,1,2,0,32,2018,2,5,0,Canceled
231,3,0,1,1,0,49,2018,5,7,0,Canceled
232,2,1,1,3,0,77,2018,5,12,1,Not_Canceled
233,1,0,0,2,0,22,2018,10,28,0,Not_Canceled
234,2,0,1,0,0,0,2017,10,18,0,Not_Canceled
235,2,1,0,1,1,58,2018,6,21,1,Not_Canceled
236,2,0,2,6,0,4,2017,8,14,1,Not_Canceled
237,2,0,0,2,0,117,2018,4,29,0,Canceled
238,2,0,1,3,0,36,2018,12,26,0,Canceled
239,2,0,2,2,0,35,2018,12,2,2,Not_Canceled
240,2,0,1,0,0,31,2018,4,24,0,Canceled
241,2,0,2,4,0,79,2018,6,16,0,Not_Canceled
242,2,0,1,2,0,1,2017,10,9,0,Not_Canceled
243,2,0,0,2,0,21,2017,9,3,0,Not_Canceled
244,2,0,0,2,0,12,2018,9,14,1,Not_Canceled
245,2,0,1,0,0,33,2018,2,8,1,Not_Canceled
246,1,0,0,2,0,164,2017,10,2,0,Not_Canceled
247,2,0,0,3,1,78,2018,3,24,1,Not_Canceled
248,2,0,0,4,0,18,2018,5,31,0,Canceled
249,2,0,1,2,0,21,2018,8,15,0,Canceled
250,1,0,1,3,0,0,2017,11,9,1,Not_Canceled
251,3,0,2,1,0,152,2018,8,13,1,Canceled
252,2,0,2,3,0,43,2017,10,2,0,Not_Canceled
253,2,0,0,4,0,177,2018,7,26,1,Canceled
254,2,0,1,1,0,47,2018,5,21,0,Not_Canceled
255,3,0,0,3,0,57,2018,9,7,0,Not_Canceled
256,2,0,2,4,0,60,2017,11,15,1,Not_Canceled
257,2,0,0,1,0,0,2017,9,16,0,Not_Canceled
258,2,0,0,2,0,102,2017,10,16,0,Canceled
259,2,0,0,3,0,71,2018,10,18,1,Not_Canceled
260,3,0,2,3,0,111,2018,7,23,1,Not_Canceled
261,3,0,1,1,0,1,2018,6,11,3,Not_Canceled
262,2,0,1,1,0,4,2018,1,16,0,Not_Canceled
263,2,0,1,3,0,25,2017,9,14,1,Not_Canceled
264,1,0,2,2,0,209,2018,11,6,1,Canceled
265,1,0,2,1,0,93,2018,10,15,0,Canceled
266,2,0,2,5,0,53,2017,9,2,2,Not_Canceled
267,1,0,0,2,0,1,2017,8,12,1,Not_Canceled
268,1,0,2,1,0,4,2017,8,23,1,Not_Canceled
269,2,0,0,3,0,302,2018,12,29,2,Canceled
270,2,0,0,2,0,122,2018,4,15,0,Not_Canceled
271,1,0,0,1,0,16,2018,3,11,0,Not_Canceled
272,2,0,2,4,0,28,2018,8,28,1,Canceled
273,2,0,1,2,0,161,2018,3,25,0,Canceled
274,3,0,0,2,0,57,2018,12,9,2,Not_Canceled
275,2,0,1,0,0,19,2018,6,12,1,Not_Canceled
276,3,0,2,4,0,109,2018,7,6,4,Not_Canceled
277,1,0,0,2,0,239,2018,6,15,0,Canceled
278,1,0,2,1,0,33,2018,3,5,2,Not_Canceled
279,2,0,0,3,0,11,2017,8,18,1,Not_Canceled
280,3,0,2,5,0,40,2018,4,21,1,Not_Canceled
281,3,0,1,1,0,45,2018,6,18,0,Not_Canceled
282,2,0,1,3,0,41,2018,5,9,0,Canceled
283,2,0,0,4,0,167,2018,6,28,0,Canceled
284,2,0,0,4,0,62,2018,3,9,0,Canceled
285,1,0,1,4,0,113,2018,9,7,0,Canceled
286,2,0,0,2,1,1,2018,8,10,0,Not_Canceled
287,2,2,2,2,0,84,2018,5,13,1,Not_Canceled
288,0,2,2,2,0,68,2018,4,24,1,Canceled
289,2,0,0,1,0,9,2018,9,7,1,Not_Canceled
290,3,0,1,2,0,245,2018,10,28,0,Canceled
291,2,0,1,3,0,80,2018,3,17,1,Not_Canceled
292,2,0,1,1,0,7,2018,8,22,1,Canceled
293,2,1,1,1,0,128,2017,8,8,2,Not_Canceled
294,2,0,2,1,0,100,2018,5,1,1,Not_Canceled
295,2,0,2,1,0,118,2018,4,3,1,Canceled
296,1,0,0,3,0,166,2018,11,1,0,Canceled
297,1,0,0,1,0,41,2017,9,4,0,Not_Canceled
298,2,0,2,2,0,174,2018,8,13,1,Not_Canceled
299,2,1,2,1,0,27,2017,12,27,3,Not_Canceled
300,2,0,2,6,0,2,2018,11,16,2,Not_Canceled
301,1,0,0,3,0,37,2018,10,13,0,Not_Canceled
302,1,0,0,2,0,188,2018,6,15,0,Canceled
303,2,0,2,1,0,68,2018,1,2,1,Not_Canceled
304,2,0,1,2,0,189,2018,10,28,0,Canceled
305,2,0,1,0,0,10,2018,5,16,0,Not_Canceled
306,3,0,2,1,0,19,2018,2,20,1,Not_Canceled
307,2,0,0,2,0,61,2018,3,23,0,Canceled
308,2,0,0,4,0,95,2017,12,29,0,Not_Canceled
309,2,0,0,1,0,83,2017,9,30,0,Not_Canceled
310,2,0,1,3,0,37,2018,8,1,0,Canceled
311,2,0,1,0,0,19,2018,7,25,1,Canceled
312,2,2,0,2,0,22,2018,9,16,2,Not_Canceled
313,2,0,2,1,0,22,2017,12,26,0,Not_Canceled
314,2,0,2,5,0,151,2018,7,9,0,Canceled
315,2,0,2,1,0,26,2018,2,28,0,Not_Canceled
316,3,0,1,0,0,27,2018,4,17,0,Canceled
317,2,0,0,2,0,79,2018,6,24,0,Not_Canceled
318,2,0,1,1,0,247,2018,6,6,1,Canceled
319,2,0,2,3,0,189,2018,7,17,1,Not_Canceled
320,2,0,0,2,0,320,2018,8,18,1,Canceled
321,3,0,1,2,0,27,2018,2,22,2,Not_Canceled
322,1,0,1,0,0,51,2018,5,22,0,Not_Canceled
323,2,0,0,2,0,245,2018,6,17,0,Canceled
324,2,1,1,2,0,52,2018,7,8,0,Canceled
325,1,0,2,0,0,13,2017,10,18,0,Not_Canceled
326,2,0,0,2,0,46,2018,11,11,1,Canceled
327,3,0,2,1,0,84,2018,8,28,0,Canceled
328,1,0,0,2,0,188,2018,6,15,0,Canceled
329,2,0,0,3,0,19,2017,10,6,0,Not_Canceled
330,2,0,0,2,0,67,2018,5,27,1,Not_Canceled
331,2,0,0,1,0,0,2017,8,11,0,Not_Canceled
332,2,0,0,2,0,273,2017,7,17,0,Canceled
333,2,0,2,1,0,110,2017,7,25,0,Canceled
334,1,0,0,1,0,0,2017,12,15,0,Not_Canceled
335,2,0,1,2,0,32,2017,10,23,1,Not_Canceled
336,2,0,2,1,0,282,2017,10,10,0,Not_Canceled
337,2,0,2,2,0,38,2018,10,2,0,Not_Canceled
338,2,0,1,1,0,175,2018,7,23,1,Not_Canceled
339,2,0,0,3,0,143,2018,8,18,0,Canceled
340,2,0,2,2,0,127,2018,6,26,1,Not_Canceled
341,1,0,0,1,0,0,2017,9,8,0,Not_Canceled
342,2,1,2,5,0,95,2018,12,21,3,Not_Canceled
343,1,0,1,2,0,118,2018,6,6,0,Not_Canceled
344,2,0,0,3,0,45,2018,11,10,0,Not_Canceled
345,3,0,1,1,0,69,2018,7,25,0,Not_Canceled
346,2,0,0,1,0,57,2018,9,7,3,Not_Canceled
347,1,0,0,2,0,5,2018,8,24,4,Not_Canceled
348,2,0,0,2,0,39,2017,8,14,0,Not_Canceled
349,2,0,0,1,0,0,2018,2,24,1,Not_Canceled
350,3,0,1,1,0,89,2018,8,15,1,Not_Canceled
351,2,0,0,4,0,85,2018,3,29,0,Not_Canceled
352,1,0,0,1,1,4,2018,7,1,1,Not_Canceled
353,1,0,2,6,0,11,2018,7,5,0,Canceled
354,1,0,1,1,0,12,2018,7,11,1,Not_Canceled
355,2,0,2,2,0,77,2018,5,14,1,Not_Canceled
356,2,1,1,1,0,14,2018,10,22,1,Not_Canceled
357,1,0,2,1,0,1,2018,2,28,0,Canceled
358,2,0,1,3,0,133,2018,6,13,0,Not_Canceled
359,2,0,1,2,0,3,2017,8,10,1,Not_Canceled
360,2,0,2,0,0,19,2018,9,18,0,Not_Canceled
361,2,0,2,2,0,86,2018,9,3,3,Not_Canceled
362,2,0,0,2,0,23,2017,10,16,2,Not_Canceled
363,2,0,0,1,0,65,2018,9,22,1,Not_Canceled
364,2,0,0,2,0,1,2018,11,16,1,Not_Canceled
365,2,0,0,1,0,66,2017,11,19,2,Not_Canceled
366,3,0,1,4,0,50,2018,2,22,1,Not_Canceled
367,2,0,2,3,0,87,2018,6,26,0,Canceled
368,2,0,1,1,0,159,2018,4,9,1,Not_Canceled
369,2,0,2,3,0,39,2018,8,13,2,Not_Canceled
370,2,0,2,0,0,386,2018,10,23,1,Canceled
371,2,2,0,5,0,22,2017,12,29,0,Not_Canceled
372,2,0,2,2,0,102,2018,7,10,0,Not_Canceled
373,4,0,0,3,0,86,2018,10,20,1,Not_Canceled
374,2,0,2,2,0,56,2017,9,25,0,Not_Canceled
375,2,0,2,6,0,36,2018,12,10,1,Not_Canceled
376,2,0,0,3,0,50,2018,10,4,1,Not_Canceled
377,2,0,0,2,0,115,2018,10,27,0,Canceled
378,1,0,0,1,0,0,2018,3,23,0,Not_Canceled
379,2,0,1,3,0,35,2018,3,3,0,Canceled
380,2,0,2,1,0,17,2018,5,21,0,Not_Canceled
381,2,0,4,11,0,237,2018,9,13,1,Canceled
382,2,0,0,4,0,125,2018,9,7,2,Not_Canceled
383,2,2,2,2,0,32,2018,12,2,0,Canceled
384,2,0,2,0,0,5,2018,9,18,0,Not_Canceled
385,2,0,2,1,0,91,2018,6,19,0,Canceled
386,2,0,0,2,0,102,2017,10,16,0,Not_Canceled
387,3,0,2,1,0,9,2018,3,20,1,Not_Canceled
388,3,0,1,3,0,155,2018,12,26,1,Canceled
389,2,2,0,1,0,0,2018,5,14,0,Canceled
390,1,0,0,3,0,11,2017,9,15,0,Not_Canceled
391,1,0,0,1,0,0,2018,2,19,0,Not_Canceled
392,2,1,1,4,0,86,2018,3,23,0,Not_Canceled
393,1,0,0,1,1,18,2018,10,18,0,Not_Canceled
394,2,0,0,2,0,58,2018,3,4,1,Not_Canceled
395,2,0,2,1,0,54,2018,4,30,0,Not_Canceled
396,2,1,2,3,0,25,2018,7,23,1,Canceled
397,2,0,0,2,0,107,2017,9,9,1,Not_Canceled
398,1,0,0,4,0,100,2018,9,28,0,Not_Canceled
399,2,0,1,2,0,273,2018,5,13,0,Canceled
400,2,0,0,1,0,29,2018,3,18,0,Not_Canceled
401,2,0,0,1,0,221,2018,8,12,0,Canceled
402,2,0,2,2,0,213,2018,10,1,2,Canceled
403,2,0,1,2,0,198,2018,9,9,0,Canceled
404,2,0,1,2,0,81,2018,1,29,2,Not_Canceled
405,2,0,0,1,0,23,2018,4,8,0,Not_Canceled
406,2,0,0,3,0,26,2017,9,17,1,Canceled
407,2,0,2,1,0,20,2018,6,18,1,Not_Canceled
408,2,1,1,3,0,124,2018,12,26,2,Canceled
409,3,0,0,3,0,85,2018,8,3,0,Canceled
410,2,0,0,1,0,167,2018,8,6,0,Canceled
411,2,0,1,3,0,71,2018,5,30,1,Not_Canceled
412,2,0,0,2,0,48,2018,11,4,2,Not_Canceled
413,1,0,0,1,0,37,2018,5,13,0,Not_Canceled
414,3,0,2,2,0,76,2018,5,29,0,Canceled
415,1,0,0,1,0,13,2018,1,20,0,Not_Canceled
416,1,0,1,0,0,3,2018,6,27,0,Not_Canceled
417,2,0,1,2,0,75,2017,12,7,0,Not_Canceled
418,1,0,0,1,0,5,2018,4,5,1,Not_Canceled
419,2,0,2,0,0,386,2018,10,23,1,Canceled
420,2,0,1,1,0,180,2018,5,2,1,Not_Canceled
421,2,0,1,3,0,122,2018,11,14,2,Canceled
422,2,0,1,2,0,224,2017,10,2,0,Not_Canceled
423,2,0,2,2,0,24,2018,5,29,2,Not_Canceled
424,1,0,2,2,0,162,2018,10,14,0,Canceled
425,3,0,1,1,0,25,2018,7,2,0,Canceled
426,1,0,0,1,0,1,2018,8,4,0,Not_Canceled
427,2,0,0,4,0,236,2018,9,27,1,Canceled
428,2,0,2,3,0,120,2018,4,8,0,Canceled
429,2,0,1,3,1,12,2018,3,24,1,Not_Canceled
430,2,0,2,4,0,224,2018,9,3,1,Canceled
431,1,0,0,4,0,33,2017,10,21,0,Not_Canceled
432,2,0,0,2,0,24,2018,5,13,0,Not_Canceled
433,2,0,0,1,0,22,2017,9,8,1,Not_Canceled
434,2,0,0,3,0,10,2017,10,20,1,Not_Canceled
435,2,0,0,2,0,15,2018,2,16,1,Canceled
436,2,0,0,5,0,230,2018,9,6,0,Canceled
437,2,0,0,4,0,54,2018,3,16,0,Not_Canceled
438,2,0,0,1,0,45,2017,10,23,0,Not_Canceled
439,3,0,1,3,0,63,2018,10,24,2,Not_Canceled
440,2,0,2,1,0,166,2018,8,6,1,Not_Canceled
441,2,0,1,4,0,148,2018,8,22,0,Canceled
442,2,0,2,1,0,136,2018,8,13,1,Not_Canceled
443,2,0,1,3,0,37,2018,3,10,2,Not_Canceled
444,2,0,0,4,0,66,2018,5,11,1,Not_Canceled
445,1,0,0,1,0,11,2017,10,23,0,Not_Canceled
446,1,0,0,1,1,1,2018,4,1,1,Not_Canceled
447,2,0,2,2,0,7,2018,6,19,1,Not_Canceled
448,2,0,0,1,0,43,2017,10,13,0,Not_Canceled
449,2,0,3,5,0,5,2018,4,4,0,Canceled
450,2,0,1,1,0,247,2018,6,6,1,Canceled
451,2,0,2,1,0,24,2018,10,16,1,Canceled
452,1,0,0,1,0,53,2018,10,14,0,Not_Canceled
453,2,0,2,1,0,52,2018,11,19,2,Not_Canceled
454,2,0,0,1,0,56,2018,6,8,0,Not_Canceled
455,1,0,0,1,0,12,2018,6,8,1,Not_Canceled
456,2,0,0,5,0,230,2018,9,6,1,Canceled
457,2,1,1,3,0,92,2018,10,31,1,Canceled
458,1,0,0,3,0,2,2018,5,31,0,Not_Canceled
459,2,0,0,2,0,74,2017,9,18,0,Not_Canceled
